,class-0,class-1,class-2
ISYNA1,0.0,0.0,1.0
ITGB1,0.0,0.0,1.0
ITGB2,0.0,0.0,1.0
ITGB3,0.0,0.0,1.0
ITGB8,0.0,0.0,1.0
JAK1,0.0,0.0,1.0
JUP,0.0,0.0,1.0
KAT2A,0.0,0.0,1.0
KAT7,0.0,0.0,1.0
KCMF1,0.0,0.0,1.0
KCNJ14,0.0,0.0,1.0
KCNJ2,0.0,0.0,1.0
KCNMB1,0.0,0.0,1.0
KCTD11,0.0,0.0,1.0
KDM1A,0.0,0.0,1.0
KDM2A,0.0,0.0,1.0
RUBCN,0.0,0.0,1.0
USF3,0.0,0.0,1.0
KIF11,0.0,0.0,1.0
KIF20A,0.0,0.0,1.0
KIF9,0.0,0.0,1.0
KIR2DL5A,0.0,0.0,1.0
KIR2DL5B,0.0,0.0,1.0
KISS1R,0.0,0.0,1.0
KLF16,0.0,0.0,1.0
KLF5,0.0,0.0,1.0
KLHL4,0.0,0.0,1.0
KLK12,0.0,0.0,1.0
KMT2A,0.0,0.0,1.0
KMT2D,0.0,0.0,1.0
KPNA2,0.0,0.0,1.0
KPNA3,0.0,0.0,1.0
KRAS,0.0,0.0,1.0
KRR1,0.0,0.0,1.0
KRT1,0.0,0.0,1.0
KRT13,0.0,0.0,1.0
KRT86,0.0,0.0,1.0
KRTAP10-5,0.0,0.0,1.0
KRTAP23-1,0.0,0.0,1.0
LARS,0.0,0.0,1.0
LARS2,0.0,0.0,1.0
LCMT1,0.0,0.0,1.0
LCN15,0.0,0.0,1.0
LENG8,0.0,0.0,1.0
LENG9,0.0,0.0,1.0
LEO1,0.0,0.0,1.0
LETM1,0.0,0.0,1.0
LGR6,0.0,0.0,1.0
LHB,0.0,0.0,1.0
LIAS,0.0,0.0,1.0
LIFR,0.0,0.0,1.0
LIG3,0.0,0.0,1.0
LILRA2,0.0,0.0,1.0
LILRB4,0.0,0.0,1.0
LIN52,0.0,0.0,1.0
LIPC,0.0,0.0,1.0
LIPF,0.0,0.0,1.0
LMNB1,0.0,0.0,1.0
LMX1B,0.0,0.0,1.0
LONP1,0.0,0.0,1.0
LRPPRC,0.0,0.0,1.0
LRRN2,0.0,0.0,1.0
LSM2,0.0,0.0,1.0
LSM3,0.0,0.0,1.0
LSM4,0.0,0.0,1.0
LSM5,0.0,0.0,1.0
LSM6,0.0,0.0,1.0
LSM7,0.0,0.0,1.0
LSM8,0.0,0.0,1.0
LTBP4,0.0,0.0,1.0
LYRM4,0.0,0.0,1.0
LYVE1,0.0,0.0,1.0
LZIC,0.0,0.0,1.0
LZTS2,0.0,0.0,1.0
MACF1,0.0,0.0,1.0
MAD2L1,0.0,0.0,1.0
MAD2L2,0.0,0.0,1.0
MAGI1,0.0,0.0,1.0
MAGOH,0.0,0.0,1.0
MAGOHB,0.0,0.0,1.0
MAP3K3,0.0,0.0,1.0
MAP3K8,0.0,0.0,1.0
MARS,0.0,0.0,1.0
MASTL,0.0,0.0,1.0
MAT1A,0.0,0.0,1.0
MAT2A,0.0,0.0,1.0
MATN2,0.0,0.0,1.0
MATR3,0.0,0.0,1.0
MAX,0.0,0.0,1.0
MBNL1,0.0,0.0,1.0
MC1R,0.0,0.0,1.0
MCL1,0.0,0.0,1.0
MCM2,0.0,0.0,1.0
MCM3,0.0,0.0,1.0
MCM4,0.0,0.0,1.0
MCM5,0.0,0.0,1.0
MCM6,0.0,0.0,1.0
MCM7,0.0,0.0,1.0
MDC1,0.0,0.0,1.0
MED1,0.0,0.0,1.0
MED12,0.0,0.0,1.0
MED14,0.0,0.0,1.0
MED15,0.0,0.0,1.0
MED19,0.0,0.0,1.0
MED20,0.0,0.0,1.0
MED23,0.0,0.0,1.0
MED24,0.0,0.0,1.0
MED25,0.0,0.0,1.0
MED26,0.0,0.0,1.0
MED27,0.0,0.0,1.0
MED28,0.0,0.0,1.0
MED30,0.0,0.0,1.0
MED7,0.0,0.0,1.0
MED8,0.0,0.0,1.0
MED9,0.0,0.0,1.0
METAP1,0.0,0.0,1.0
METAP2,0.0,0.0,1.0
METRN,0.0,0.0,1.0
METTL3,0.0,0.0,1.0
MEX3D,0.0,0.0,1.0
MGMT,0.0,0.0,1.0
MINOS1-NBL1,0.0,0.0,1.0
MOGAT3,0.0,0.0,1.0
MORF4L2,0.0,0.0,1.0
MPP1,0.0,0.0,1.0
MRPL19,0.0,0.0,1.0
MRPL37,0.0,0.0,1.0
MRPL38,0.0,0.0,1.0
MRPL45,0.0,0.0,1.0
MRPS16,0.0,0.0,1.0
MRPS28,0.0,0.0,1.0
MRTO4,0.0,0.0,1.0
MSR1,0.0,0.0,1.0
MTCH2,0.0,0.0,1.0
MTHFD1,0.0,0.0,1.0
MTOR,0.0,0.0,1.0
MXRA5,0.0,0.0,1.0
MYBBP1A,0.0,0.0,1.0
MYBL2,0.0,0.0,1.0
MYC,0.0,0.0,1.0
MYCBP,0.0,0.0,1.0
MYCL,0.0,0.0,1.0
MYEOV,0.0,0.0,1.0
MYH9,0.0,0.0,1.0
MYL12A,0.0,0.0,1.0
MYL12B,0.0,0.0,1.0
MYOZ3,0.0,0.0,1.0
MZF1,0.0,0.0,1.0
NAA10,0.0,0.0,1.0
NAA15,0.0,0.0,1.0
NACA,0.0,0.0,1.0
NACA2,0.0,0.0,1.0
NACAP1,0.0,0.0,1.0
NAGK,0.0,0.0,1.0
NAMPT,0.0,0.0,1.0
NANOGNB,0.0,0.0,1.0
NAPA,0.0,0.0,1.0
NAPG,0.0,0.0,1.0
NAT10,0.0,0.0,1.0
NAT8B,0.0,0.0,1.0
NBL1,0.0,0.0,1.0
NCAPD2,0.0,0.0,1.0
NCBP1,0.0,0.0,1.0
NCBP2,0.0,0.0,1.0
NCL,0.0,0.0,1.0
NCLN,0.0,0.0,1.0
NDC1,0.0,0.0,1.0
NDP,0.0,0.0,1.0
NDUFA1,0.0,0.0,1.0
NDUFA10,0.0,0.0,1.0
NDUFA11,0.0,0.0,1.0
NDUFA8,0.0,0.0,1.0
NDUFAB1,0.0,0.0,1.0
NDUFB10,0.0,0.0,1.0
NDUFB11,0.0,0.0,1.0
NDUFB2,0.0,0.0,1.0
NDUFB7,0.0,0.0,1.0
NDUFS1,0.0,0.0,1.0
